# ----------------------------------------
# Aerlingus.com All Website Traffic (excluding internal EI traffic) UA
# New Custom Report
# 20180212-20180212
# ----------------------------------------

Transaction ID,Booked Origin Airport,Booked Destination Airport,trans_Date,Quantity
2SKHJF|2d93ab5bcc846e964317b038ba4b14f5b59b12e1,LAX,DUB,2018-02-12T01:34:32.230Z,4
2T7JV6|820c60bc0b3da222cd7536dd4271200e9936c063,DUB,LHR,2018-02-12T01:02:34.292Z,4
2T7JV6|820c60bc0b3da222cd7536dd4271200e9936c063,LHR,DUB,2018-02-12T01:02:34.292Z,4
22K26S|1fdbbc89e2a52a5bbdf9cc5285719e2b39a2410d,LHR,SEA,2018-02-12T03:18:15.118Z,3
22K26S|1fdbbc89e2a52a5bbdf9cc5285719e2b39a2410d,SEA,LHR,2018-02-12T03:18:15.118Z,3
23CBDN|02797ad4a1b10294a81752c59cec88ee9301d363,AGP,ORK,2018-02-12T07:43:35.965Z,3
23CBDN|02797ad4a1b10294a81752c59cec88ee9301d363,ORK,AGP,2018-02-12T07:43:35.965Z,3
23CFEB|100b4a6dfc220ef1cf44fe948c494337f9725142,DUB,LCY,2018-02-12T09:29:18.738Z,3
23CFEB|100b4a6dfc220ef1cf44fe948c494337f9725142,LCY,DUB,2018-02-12T09:29:18.738Z,3
253ACS|26a3740d832f46414059edef878c97163eeca087,DUB,ORD,2018-02-12T02:14:42.552Z,3
253ACS|26a3740d832f46414059edef878c97163eeca087,ORD,DUB,2018-02-12T02:14:42.552Z,3
27GTR6|123ae9d956131fc298da532cd5ae1e4746419031,BDL,DUB,2018-02-12T01:43:05.370Z,3
27GTR6|123ae9d956131fc298da532cd5ae1e4746419031,DUB,BDL,2018-02-12T01:43:05.370Z,3
27MTWJ|b226361b94f4b9113217e08b6b354fc6c02b463e,DUB,JFK,2018-02-12T01:19:42.365Z,3
27MTWJ|b226361b94f4b9113217e08b6b354fc6c02b463e,JFK,DUB,2018-02-12T01:19:42.365Z,3
27MTYJ|2a4629c6b7f53797c0081a0876ac55a74e0bac5e,JFK,DUB,2018-02-12T01:23:15.377Z,3
27MTYJ|2a4629c6b7f53797c0081a0876ac55a74e0bac5e,SNN,JFK,2018-02-12T01:23:15.377Z,3
